scan,n_runs,n_scored,batch_sizes,median_%,p95_%,max_%,eq_check_max,n_errors
toy_1d_scan,734,686,32,0.0644190853189658,0.1389465401006561,0.9825862075799344,0.0,0
polynomial_scan,731,642,32,0.0966422137845791,0.3312782835142799,1.6991682541113151,0.0,0
mnist_scan_ce,1040,1010,64,0.4164334297030552,0.4799959870705342,0.7795199422782704,0.0,0
mnist_scan_labelRegression,999,902,64,0.2776961418483294,0.4573725858453622,0.5950560753614174,0.0,0
cifar10_resnet_ce_scan,290,290,128,0.1697303591717792,0.7068221395303583,1.078102436561637,0.0,0
cifar10_resnet_scan_labelRegression,290,281,128,0.1045720381398465,1.7275655309994742,24.33976300336728,0.0,0
rebuttal_batchsize_polynomial_scan,2496,2050,"8,16,32,64,128,256",0.1853976088746767,2.0580090603249936,8.511305863930538,0.0,0
rebuttal_overparam_polynomial_scan,2160,2160,"170,340,675,1350",0.1952896410700959,2.5157929431263866,24.58057241035885,0.0,0
mnist_kappaScan_labelRegression,15,15,64,0.4445836711753227,0.4666835484444929,0.4676064933629917,0.0,0
rebuttal_fig5_cifar_paramfrac_scan,15,15,128,8.581494141451028,43.28156403860448,52.69301318390097,0.0,0
toy_1d_microbatch_scan,120,120,32,0.0561486647158394,0.1493883503135527,0.3681734672838331,0.0,0
toy_1d_paramfrac_scan,97,97,32,0.0544177767870982,0.2022983010694679,1.865727911099696,0.0,0
polynomial_microbatch_scan,120,120,32,0.070839776422809,0.2910696536284328,0.6004801918301589,0.0,0
polynomial_paramfrac_scan,86,86,32,0.1291228676445805,0.4511147797781419,0.7725165354084076,0.0,0
mnist_microbatch_ce_scan,140,140,64,0.4201981286842552,0.4793854447353316,0.4799260319245853,0.0,0
mnist_microbatch_labelreg_scan,140,140,64,0.3816561858068282,0.4578480911932098,0.4685910147264577,0.0,0
mnist_paramfrac_ce_scan,92,92,64,0.360261600761478,0.4723222894594214,0.4788636989349327,0.0,0
mnist_paramfrac_labelreg_scan,87,87,64,0.3425979153397688,0.4662652173369951,0.4799735397502622,0.0,0
rebuttal_overparam_toy_1d_scan,2160,2160,"150,300,600,1200",0.1068612173880161,0.6804781343413475,5.451311070479102,0.0,0
rebuttal_overparam_mnist_scan,2477,2237,64,0.1656892850656456,0.4499600899740142,3.600996203136909,0.0,0
exp_nanogpt_speedrun,100,100,64,0.34496304888117435,0.5368827320115492,0.6468746838742352,0.0,0
