scan,runs,proc_h,n_div,no_time,max_min,first,last,nproc,gpu_h,span_h,dens
cifar10_resnet_ce_kappaScan,2,3.614749730726665,0,0,108.60625598513288,2026-09-18 08:33:47,2026-09-18 08:34:22,1,3.614749730726665,0.009722222222222222,371.80282944617124
cifar10_resnet_ce_paramFrac_scan,6,8.88818001595882,0,0,114.1274143944999,2026-09-18 09:00:39,2026-09-18 10:33:09,1,8.88818001595882,1.5416666666666667,5.765305956297613
cifar10_resnet_ce_scan,290,215.17782861494808,0,0,255.73761975003097,2026-09-11 16:02:43,2026-09-16 08:56:20,2,107.58891430747404,112.89361111111111,1.906023082237734
cifar10_resnet_kappaScan_labelReg,5,9.208613709006167,0,0,113.11891652591682,2026-09-18 07:10:57,2026-09-18 07:45:02,1,9.208613709006167,0.5680555555555555,16.21076251952186
cifar10_resnet_paramFrac_scan_labelReg,5,10.796776609147718,0,0,183.90392784140033,2026-09-18 08:51:59,2026-09-18 10:23:05,1,10.796776609147718,1.5183333333333333,7.110939588900803
cifar10_resnet_scan_labelRegression,290,214.63230263728755,9,0,249.51725906075058,2026-09-11 18:29:22,2026-09-16 01:42:00,2,107.31615131864378,103.21055555555556,2.079557672003389
exp_critbatch_mnist,210,23.191527052413438,1,0,36.10376123998236,2026-09-15 05:02:55,2026-09-18 06:10:45,4,5.7978817631033595,73.13055555555556,0.3171249948292186
exp_critbatch_nanogpt,210,32.22760415287284,0,0,58.38450515753357,2026-09-15 05:12:30,2026-09-18 07:37:33,2,16.11380207643642,74.4175,0.4330648591107312
exp_finetune_cifar_smallN,240,3.4962567430239546,24,0,13.623232843734636,2026-09-18 11:19:02,2026-09-18 12:49:19,2,1.7481283715119773,1.5047222222222223,2.323523033946139
exp_nanogpt_speedrun,100,7.558525926074556,0,0,9.716276761483945,2026-09-15 04:13:49,2026-09-18 05:26:49,2,3.779262963037278,73.21666666666667,0.10323504565546855
exp_nanogpt_speedrun_timing,12,0.9452777128032822,0,0,8.780983355032125,2026-09-17 04:27:50,2026-09-17 05:16:32,1,0.9452777128032822,0.8116666666666666,1.1646131985256043
mnist_kappaScan_labelRegression,15,6.581143832764582,0,0,27.15493609706949,2026-09-14 17:12:44,2026-09-14 18:30:43,4,1.6452859581911454,1.2997222222222222,5.06350027739955
mnist_microbatch_ce_scan,140,35.26573689120815,0,0,29.248443144765524,2026-09-14 17:19:48,2026-09-18 08:20:34,4,8.816434222802037,87.01277777777777,0.4052937716949278
mnist_microbatch_labelreg_scan,140,42.527172661020465,0,0,24.343454176649296,2026-09-14 17:14:44,2026-09-15 03:35:18,4,10.631793165255116,10.342777777777778,4.111774764453823
mnist_paramfrac_ce_scan,92,43.63290395508323,6,0,46.884342441498305,2026-09-14 18:01:24,2026-09-18 08:32:39,4,10.908225988770807,86.52083333333333,0.5043051745350338
mnist_paramfrac_labelreg_scan,87,40.11393143600597,12,0,45.610354774499626,2026-09-14 18:01:50,2026-09-15 04:00:01,4,10.028482859001492,9.969722222222222,4.0235756364999995
mnist_scan_ce,1040,168.4806083918264,35,0,111.22263605481712,2026-09-11 16:55:33,2026-09-18 03:23:08,4,42.1201520979566,154.4597222222222,1.0907737367896613
mnist_scan_ce_timing,60,7.8335354416951954,0,0,41.26019800736879,2026-09-17 02:47:23,2026-09-17 12:45:41,1,7.8335354416951954,9.971666666666666,0.7855793523344673
mnist_scan_labelRegression,999,183.69048115141103,100,0,179.46594497876941,2026-09-11 15:03:10,2026-09-18 03:02:21,4,45.92262028785276,155.98638888888888,1.1776058312514441
mnist_scan_labelRegression_timing,60,8.820771057104187,0,0,40.44130817108089,2026-09-16 23:44:57,2026-09-17 06:22:32,1,8.820771057104187,6.626388888888889,1.331158071916792
polynomial_microbatch_scan,120,3.4337740435403408,0,0,1.7582716698661291,2026-09-14 16:11:50,2026-09-14 16:45:05,6,0.5722956739233901,0.5541666666666667,6.196283988343472
polynomial_paramfrac_scan,86,4.307319787024624,3,0,3.3945590755630595,2026-09-14 16:21:44,2026-09-14 17:06:35,6,0.7178866311707707,0.7475,5.76230071842759
polynomial_scan,731,40.74987189661103,94,0,20.269179899614148,2026-09-11 14:42:20,2026-09-18 02:39:13,6,6.791645316101839,155.94805555555556,0.2613041358639713
polynomial_scan_timing,65,1.040137603311062,1,0,9.887675628384264,2026-09-16 23:51:07,2026-09-17 00:54:26,1,1.040137603311062,1.0552777777777778,0.9856529012687085
rebuttal_batchsize_polynomial_scan,2496,287.536327562089,502,0,81.32171215688189,2026-09-15 03:16:30,2026-09-18 13:03:35,6,47.92272126034817,81.78472222222223,3.515770669010853
